"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LPGHTNV4","journalArticle","2021","Ishibashi, Nobuyuki; Jonas, Richard A.","Nitric oxide: An important contributor to neuroprotection during pediatric cardiac surgery","The Journal of Thoracic and Cardiovascular Surgery","","00225223","10.1016/j.jtcvs.2019.12.057","https://linkinghub.elsevier.com/retrieve/pii/S0022522320300325","","2021-06","2025-05-21 21:08:00","2025-05-22 11:31:37","2025-05-21 21:08:00","e499-e500","","6","161","","The Journal of Thoracic and Cardiovascular Surgery","Commentary","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/X6UPEY2T/Ishibashi and Jonas - 2021 - Commentary Nitric oxide An important contributor to neuroprotection during pediatric cardiac surge.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FLTBYUA","journalArticle","2019","Said, Sameh M.; Qureshi, Muhammad Yasir; Taggart, Nathaniel W.; Anderson, Heather N.; O'Leary, Patrick W.; Cetta, Frank; Alrahmani, Layan; Cofer, Shelagh A.; Segura, Leal G.; Pike, Roxann B.; Sharpe, Emily E.; Derleth, Douglas P.; Nemergut, Michael E.; Van Dorn, Charlotte S.; Gleich, Stephen J.; Rose, Carl H.; Collura, Christopher A.; Ruano, Rodrigo","Innovative 2-Step Management Strategy Utilizing EXIT Procedure for a Fetus With Hypoplastic Left Heart Syndrome and Intact Atrial Septum","Mayo Clinic Proceedings","","00256196","10.1016/j.mayocp.2018.08.004","https://linkinghub.elsevier.com/retrieve/pii/S0025619618305883","","2019-02","2025-05-21 21:08:05","2025-05-21 21:08:05","2025-05-21 21:08:05","356-361","","2","94","","Mayo Clinic Proceedings","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBENTWUC","journalArticle","2007","Canter, Jeffrey A.; Summar, Marshall L.; Smith, Heidi B.; Rice, Geraldine D.; Hall, Lynn D.; Ritchie, Marylyn D.; Motsinger, Alison A.; Christian, Karla G.; Drinkwater, Davis C.; Scholl, Frank G.; Dyer, Karrie L.; Kavanaugh-McHugh, Ann L.; Barr, Frederick E.","Genetic variation in the mitochondrial enzyme carbamyl-phosphate synthetase I predisposes children to increased pulmonary artery pressure following surgical repair of congenital heart defects: A validated genetic association study","Mitochondrion","","15677249","10.1016/j.mito.2006.11.001","https://linkinghub.elsevier.com/retrieve/pii/S1567724906002182","","2007-05","2025-05-21 21:08:06","2025-05-21 21:08:06","2025-05-21 21:08:06","204-210","","3","7","","Mitochondrion","Genetic variation in the mitochondrial enzyme carbamyl-phosphate synthetase I predisposes children to increased pulmonary artery pressure following surgical repair of congenital heart defects","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/WTTSY7JM/Canter et al. - 2007 - Genetic variation in the mitochondrial enzyme carbamyl-phosphate synthetase I predisposes children t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAADNV7X","journalArticle","2015","Durkin, Chris; Buckland, Mark","Cardiopulmonary transplantation: anaesthetic implications","Anaesthesia & Intensive Care Medicine","","14720299","10.1016/j.mpaic.2015.04.010","https://linkinghub.elsevier.com/retrieve/pii/S1472029915000934","","2015-07","2025-05-21 21:08:11","2025-05-21 21:08:11","2025-05-21 21:08:11","324-327","","7","16","","Anaesthesia & Intensive Care Medicine","Cardiopulmonary transplantation","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJYKCRL5","journalArticle","2024","Araki, Haruna; Shikata, Fumiaki; Torii, Shinzo; Kitamura, Tadashi; Mishima, Toshiaki; Fukuzumi, Masaomi; Motoji, Yusuke; Horikoshi, Rihito; Tamura, Yoshimi; Ishiwaki, Daiki; Hirata, Yoichiro; Miyaji, Kagami","Fast-track extubation guided by pulmonary artery pressure monitoring after ventricular septal defect closure in infants with pulmonary hypertension","Progress in Pediatric Cardiology","","10589813","10.1016/j.ppedcard.2024.101710","https://linkinghub.elsevier.com/retrieve/pii/S1058981324000080","","2024-03","2025-05-21 21:08:12","2025-05-21 21:08:12","2025-05-21 21:08:12","101710","","","72","","Progress in Pediatric Cardiology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHWQY49C","journalArticle","2005","Tulloh, Robert M.R.","Congenital heart disease in relation to pulmonary hypertension in paediatric practice","Paediatric Respiratory Reviews","","15260542","10.1016/j.prrv.2005.06.010","https://linkinghub.elsevier.com/retrieve/pii/S1526054205000552","","2005-09","2025-05-21 21:08:14","2025-05-21 21:08:14","2025-05-21 21:08:14","174-180","","3","6","","Paediatric Respiratory Reviews","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82USX5YZ","journalArticle","2007","Schell, David N.; Winlaw, David S.","Peri-operative management of paediatric patients undergoing cardiac surgery – focus on respiratory aspects of care","Paediatric Respiratory Reviews","","15260542","10.1016/j.prrv.2007.08.001","https://linkinghub.elsevier.com/retrieve/pii/S1526054207000759","","2007-12","2025-05-21 21:08:15","2025-05-21 21:08:15","2025-05-21 21:08:15","336-347","","4","8","","Paediatric Respiratory Reviews","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRBVW27N","journalArticle","2002","Riddle, Elise M; Feltes, Timothy F; Rosen, Kerry; Fraley, J.Kennard; Mott, Antonio R; Kovalchin, John P","Association of nitric oxide dose and methemoglobin levels in patients with congenital heart disease and pulmonary hypertension","The American Journal of Cardiology","","00029149","10.1016/S0002-9149(02)02509-2","https://linkinghub.elsevier.com/retrieve/pii/S0002914902025092","","2002-08","2025-05-21 21:08:17","2025-05-21 21:08:17","2025-05-21 21:08:17","442-444","","4","90","","The American Journal of Cardiology","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERX7JEE5","journalArticle","1997","Schulze-Neick, Ingram; Bültmann, Moritz; Werner, Heinrich; Gamillscheg, Andreas; Vogel, Michael; Berger, Felix; Rossaint, Rolf; Hetzer, Roland; Lange, Peter E.","Right Ventricular Function in Patients Treated With Inhaled Nitric Oxide After Cardiac Surgery for Congenital Heart Disease in Newborns and Children","The American Journal of Cardiology","","00029149","10.1016/S0002-9149(97)00367-6","https://linkinghub.elsevier.com/retrieve/pii/S0002914997003676","","1997-08","2025-05-21 21:08:19","2025-05-22 13:19:24","2025-05-21 21:08:19","360-363","","3","80","","The American Journal of Cardiology","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3V8IRDXU","journalArticle","2000","Day, Ronald W; Hawkins, John A; McGough, Edwin C; Crezeé, Kevin L; Orsmond, Garth S","Randomized controlled study of inhaled nitric oxide after operation for congenital heart disease","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(00)01312-6","https://linkinghub.elsevier.com/retrieve/pii/S0003497500013126","","2000-06","2025-05-21 21:08:22","2025-05-21 21:08:22","2025-05-21 21:08:22","1907-1912","","6","69","","The Annals of Thoracic Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P95NVGAG","journalArticle","2002","Gulati, Rajeev; Lell, William A; Pacifico, Albert D; Johnson, Walter H; Colvin, Edward V; Bhardwaj, Ashwani","Nitric oxide: lifesaving measure for pulmonary vasospasm after modified Blalock-Taussig shunt","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(02)03960-7","https://linkinghub.elsevier.com/retrieve/pii/S0003497502039607","","2002-11","2025-05-21 21:08:25","2025-05-21 21:08:25","2025-05-21 21:08:25","1700-1702","","5","74","","The Annals of Thoracic Surgery","Nitric oxide","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/YE8F8JJY/Gulati et al. - 2002 - Nitric oxide lifesaving measure for pulmonary vasospasm after modified Blalock-Taussig shunt.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRH6YEQP","journalArticle","1996","Goldman, Allan P.; Delius, Ralph E.; Deanfield, John E.; De Leval, Marc R.; Sigston, Paul E.; Macrae, Duncan J.","Nitric Oxide Might Reduce the Need for Extracorporeal Support in Children With Critical Postoperative Pulmonary Hypertension","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(96)00375-X","https://linkinghub.elsevier.com/retrieve/pii/S000349759600375X","","1996-08","2025-05-21 21:08:28","2025-05-21 21:08:28","2025-05-21 21:08:28","750-755","","3","62","","The Annals of Thoracic Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZNK2Q5R","journalArticle","1996","Atz, Andrew M; Adatia, Ian; Wessel, David L","Rebound Pulmonary Hypertension After Inhalation of Nitric Oxide","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(96)00542-5","https://linkinghub.elsevier.com/retrieve/pii/S0003497596005425","","1996-12","2025-05-21 21:08:29","2025-05-21 21:08:29","2025-05-21 21:08:29","1759-1764","","6","62","","The Annals of Thoracic Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/W32A972K/Atz et al. - 1996 - Rebound Pulmonary Hypertension After Inhalation of Nitric Oxide.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3RNNLXW","journalArticle","1998","Beghetti, Maurice; Silkoff, Philip E; Caramori, Marlova; Holtby, Helen M; Slutsky, Arthur S; Adatia, Ian","Decreased exhaled nitric oxide may be a marker of cardiopulmonary bypass–induced injury","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(98)00447-0","https://linkinghub.elsevier.com/retrieve/pii/S0003497598004470","","1998-08","2025-05-21 21:08:32","2025-05-21 21:08:32","2025-05-21 21:08:32","532-534","","2","66","","The Annals of Thoracic Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/UFFL273A/Beghetti et al. - 1998 - Decreased exhaled nitric oxide may be a marker of cardiopulmonary bypass–induced injury.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHELDQ84","journalArticle","1999","Nagashima, Mitsugi; Stock, Ulrich; Nollert, Georg; Sperling, Jason; Shum-Tim, Dominique; Hatsuoka, Shinichi; Mayer, John E.","Effects of cyanosis and hypothermic circulatory arrest on lung function in neonatal lambs","The Annals of Thoracic Surgery","","00034975","10.1016/S0003-4975(99)00741-9","https://linkinghub.elsevier.com/retrieve/pii/S0003497599007419","","1999-08","2025-05-21 21:08:34","2025-05-21 21:08:34","2025-05-21 21:08:34","499-504","","2","68","","The Annals of Thoracic Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PV9L8JEB","journalArticle","1994","Journois, Didier; Pouard, Philippe; Mauriat, Philippe; Malhere, Thierry; Vouhe, Pascal; Safran, Denis","Inhaled nitric oxide as a therapy for pulmonary hypertension after operations for congenital heart defects","The Journal of Thoracic and Cardiovascular Surgery","","00225223","10.1016/S0022-5223(94)70390-6","https://linkinghub.elsevier.com/retrieve/pii/S0022522394703906","","1994-04","2025-05-21 21:08:35","2025-05-21 21:08:35","2025-05-21 21:08:35","1129-1135","","4","107","","The Journal of Thoracic and Cardiovascular Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/ZZAS6AHD/Journois et al. - 1994 - Inhaled nitric oxide as a therapy for pulmonary hypertension after operations for congenital heart d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HUNEDXN","journalArticle","1997","Gamillscheg, Andreas; Zobel, Gerfried; Urlesberger, Bernd; Berger, Jutta; Dacar, Drago; Stein, Jörg Ingolf; Rigler, Bruno; Metzler, Helfried; Beitzke, Albrecht","Inhaled nitric oxide in patients with critical pulmonary perfusion after fontan-type procedures and bidirectional glenn anastomosis","The Journal of Thoracic and Cardiovascular Surgery","","00225223","10.1016/S0022-5223(97)70355-6","https://linkinghub.elsevier.com/retrieve/pii/S0022522397703556","","1997-03","2025-05-21 21:08:39","2025-05-21 21:08:39","2025-05-21 21:08:39","435-442","","3","113","","The Journal of Thoracic and Cardiovascular Surgery","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/PDQF9XFL/Gamillscheg et al. - 1997 - Inhaled nitric oxide in patients with critical pulmonary perfusion after fontan-type procedures and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YJ52Z2Z","journalArticle","1998","Bando, Ko; Vijay, Palaniswamy; Turrentine, Mark W.; Sharp, Thomas G.; Means, Lynda J.; Ensing, Gregory J.; Lalone, Brian J.; Sekine, Yasuo; Szekely, Laszlo; Brown, John W.","Dilutional And Modified Ultrafiltration Reduces Pulmonary Hypertension After Operations For Congenital Heart Disease: A Prospective Randomized Study","The Journal of Thoracic and Cardiovascular Surgery","","00225223","10.1016/S0022-5223(98)70313-7","https://linkinghub.elsevier.com/retrieve/pii/S0022522398703137","","1998-03","2025-05-21 21:08:41","2025-05-21 21:08:41","2025-05-21 21:08:41","517-527","","3","115","","The Journal of Thoracic and Cardiovascular Surgery","Dilutional And Modified Ultrafiltration Reduces Pulmonary Hypertension After Operations For Congenital Heart Disease","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/TLCREELT/Bando et al. - 1998 - Dilutional And Modified Ultrafiltration Reduces Pulmonary Hypertension After Operations For Congenit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUEDBYZ8","journalArticle","2000","Miller, Owen I; Tang, Swee Fong; Keech, Anthony; Pigott, Nicholas B; Beller, Elaine; Celermajer, David S","Inhaled nitric oxide and prevention of pulmonary hypertension after congenital heart surgery: a randomised double-blind study","The Lancet","","01406736","10.1016/S0140-6736(00)02869-5","https://linkinghub.elsevier.com/retrieve/pii/S0140673600028695","","2000-10","2025-05-21 21:08:43","2025-05-21 21:08:43","2025-05-21 21:08:43","1464-1469","","9240","356","","The Lancet","Inhaled nitric oxide and prevention of pulmonary hypertension after congenital heart surgery","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSNKIFC2","journalArticle","1997","Atz, Andrew M.; Wessel, David L.","Inhaled nitric oxide in the neonate with cardiac disease","Seminars in Perinatology","","01460005","10.1016/S0146-0005(97)80009-2","https://linkinghub.elsevier.com/retrieve/pii/S0146000597800092","","1997-10","2025-05-21 21:08:45","2025-05-21 21:08:45","2025-05-21 21:08:45","441-455","","5","21","","Seminars in Perinatology","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T79Y4JRM","journalArticle","1998","Luciani, Giovanni Battista; Pessotto, Renzo; Mazzucco, Alessandro","Recurrence of pulmonary hypertension after ventricular septal defect closure and perioperative response to nitric oxide","International Journal of Cardiology","","01675273","10.1016/S0167-5273(97)00263-5","https://linkinghub.elsevier.com/retrieve/pii/S0167527397002635","","1998-01","2025-05-21 21:08:48","2025-05-21 21:08:48","2025-05-21 21:08:47","85-87","","1","63","","International Journal of Cardiology","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTN6HXJA","journalArticle","2000","Baño Rodrigo, Antonio; Domínguez Pérez, Fernando; Fernández Pineda, Luis; Gómez González, Ricardo","Guidelines of the Spanish Society of Sardiology in the postoperative course of congenital heart diseases","Revista Española de Cardiología","","03008932","10.1016/S0300-8932(00)75267-5","https://linkinghub.elsevier.com/retrieve/pii/S0300893200752675","","2000-01","2025-05-21 21:08:49","2025-05-22 13:11:33","2025-05-21 21:08:49","1496-1526","","11","53","","Revista Española de Cardiología","","","","","","","","es","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQ28U9X7","journalArticle","2003","Mitchell, Max B; Campbell, David N; Boucek, Mark M; Sondheimer, Henry M; Chan, Kak C; Ivy, David D; Pietra, Biagio; Mackenzie, Todd","Mechanical limitation of pulmonary blood flow facilitates heart transplantation in older infants with hypoplastic left heart syndrome☆","European Journal of Cardio-Thoracic Surgery","","10107940","10.1016/S1010-7940(03)00106-4","https://academic.oup.com/ejcts/article-lookup/doi/10.1016/S1010-7940(03)00106-4","","2003-05","2025-05-21 21:08:52","2025-05-21 21:08:52","2025-05-21 21:08:52","735-742","","5","23","","European Journal of Cardio-Thoracic Surgery","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BPP6Y7L","journalArticle","1995","Dhillon, R; Pearson, G; Firmin, R; Chan, K; Leanage, R","Extracorporeal membrane oxygenation and the treatment of critical pulmonary hypertension in congenital heart disease","European Journal of Cardio-Thoracic Surgery","","10107940","10.1016/S1010-7940(05)80004-1","https://academic.oup.com/ejcts/article-lookup/doi/10.1016/S1010-7940(05)80004-1","","1995","2025-05-21 21:08:54","2025-05-21 21:08:54","2025-05-21 21:08:54","553-556","","10","9","","European Journal of Cardio-Thoracic Surgery","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEJKECYU","bookSection","1995","Wessel, David L.; Adatia, Ian","Clinical Applications of Inhaled Nitric Oxide in Children with Pulmonary Hypertension","Advances in Pharmacology","978-0-12-032935-9","","","https://linkinghub.elsevier.com/retrieve/pii/S1054358908611047","","1995","2025-05-21 21:09:00","2025-05-21 21:09:00","2025-05-21 21:08:59","475-504","","","34","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/S1054-3589(08)61104-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47TEJ2EB","journalArticle","1998","Breuer, Johannes; Prein, Wolfgang; Gebhardt, Sabine; Knies, Ralf; Sieverding, Ludger; Baden, Winfried; Apitz, Juergen","Inhaled nitric oxide treatment of children with pulmonary hypertension after cardiac surgery","Progress in Pediatric Cardiology","","10589813","10.1016/S1058-9813(98)00047-2","https://linkinghub.elsevier.com/retrieve/pii/S1058981398000472","","1998-03","2025-05-21 21:09:01","2025-05-21 21:09:01","2025-05-21 21:09:01","73-83","","2","9","","Progress in Pediatric Cardiology","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBP83BD7","journalArticle","2004","Cook, Larry N.","Update on extracorporeal membrane oxygenation","Paediatric Respiratory Reviews","","15260542","10.1016/S1526-0542(04)90058-9","https://linkinghub.elsevier.com/retrieve/pii/S1526054204900589","","2004-01","2025-05-21 21:09:03","2025-05-21 21:09:03","2025-05-21 21:09:03","S329-S337","","","5","","Paediatric Respiratory Reviews","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAXIUVMB","journalArticle","1997","Uese, Kei-ichiro; Ichida, Fukiko; Tsubata, Shin-ichi; Hashimoto, Ikuo; Hamamichi, Yuji; Fukahara, Kazuaki; Murakami, Arata; Miyawaki, Toshio","Oral prostacyclin enhances the pulmonary vasodilatory effect of nitric oxide in children with pulmonary hypertension","Cardiology in the Young","","1047-9511, 1467-1107","10.1017/S1047951100004340","https://www.cambridge.org/core/product/identifier/S1047951100004340/type/journal_article","Abstract             To evaluate the potential efficacy of the combined administration of inhaled nitric oxide and oral beraprost sodium in producing pulmonary vasodilation, we studied 20 patients with pulmonary hypertension during cardiac catheterization. We also evaluated some of the mechanisms of vasodilation under these circumstances by investigating the levels of cyclic GMP and AMP in the pulmonary venous blood. A significant decrease in pulmonary vascular resistance was observed after the administration of nitric oxide (−37 ± 6%, p<0.01), and more intense decrease was observed after the combined administration of nitric oxide and beraprost sodium (−46 ± 6%, p<0.05). In addition, the ratio of pulmonary-to-systemic resistance also decreased to a greater extent with combined administration than with nitric oxide alone (−34 ± 6% vs −42 ± 7%, p<0.05). Conversely, systemic vascular resistance showed no change, neither after loading with nitric oxide nor after combined administration. Although equivalent increases in levels of cyclic GMP were observed after inhalation of nitric and the combined administration (mean 78% vs 65%), greater increases in levels of cyclic AMP were observed with the combined use (mean 15% vs 69%). Combined treatment with nitric oxide and beraprost sodium may prove markedly beneficial in patients with primary and postoperative pulmonary hypertension who do not respond adequately to inhalation of nitric oxide alone or conventional modes of treatment.","1997-10","2025-05-21 21:09:04","2025-05-21 21:09:04","2025-05-21 21:09:04","362-369","","4","7","","Cardiol Young","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELTJGI5J","journalArticle","2003","Gorenflo, Matthias; Nelle, Mathias; Schnabel, Ph. A.; Ullmann, Michael V.","Pulmonary hypertension in infancy and childhood","Cardiology in the Young","","1047-9511, 1467-1107","10.1017/S1047951103000453","https://www.cambridge.org/core/product/identifier/S1047951103000453/type/journal_article","In this review, we discuss current concepts in the pathogenesis and management of pulmonary hypertension affecting infants and children, with special focus on left-to-right shunting, bronchopulmonary dysplasia, and primary pulmonary hypertension.             In patients of these ages, functional aspects, such as an imbalance between vasoconstricting and vasodilating mechanisms, and morphological alterations of the vessel wall, contribute to the pulmonary hypertension. In the past decades, strategies have emerged for treatment that are targeted at the pathophysiological basis. Thus, in patients with left-to-right shunting and pulmonary hypertension after intra-cardiac repair, treatment with nitric oxide has been introduced effectively, while treatment with prostanoids, such as iloprost, is under investigation. In patients with pulmonary hypertension and bronchopulmonary dysplasia, therapeutic strategies focus on the underlying chronic lung disease and use of vasodilators. The pathogenesis of primary pulmonary hypertension in children remains as yet unclear, although treatment with prostanoids has proven effectively to improve the long-term prognosis.","2003-06","2025-05-21 21:09:06","2025-05-21 21:09:06","2025-05-21 21:09:06","219-227","","3","13","","Cardiol Young","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBJJV2MM","journalArticle","2006","Al Dhahri, Khalid N.; Sandor, George G.S.; Duncan, Walter J.","Intra-atrial thrombus in a neonate with coarctation of the aorta","Cardiology in the Young","","1047-9511, 1467-1107","10.1017/S1047951106000436","http://www.journals.cambridge.org/abstract_S1047951106000436","","2006-08","2025-05-21 21:09:07","2025-05-21 21:09:07","2025-05-21 21:09:07","392","","04","16","","CTY","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXA9BCHU","journalArticle","2009","Adatia, Ian; Beghetti, Maurice","Immediate postoperative care","Cardiology in the Young","","1047-9511, 1467-1107","10.1017/S1047951109003916","https://www.cambridge.org/core/product/identifier/S1047951109003916/type/journal_article","","2009-05","2025-05-21 21:09:10","2025-05-21 21:09:10","2025-05-21 21:09:10","23-27","","S1","19","","Cardiol Young","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/ZIIQRZ24/Adatia and Beghetti - 2009 - Immediate postoperative care.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6P3HFU3","journalArticle","2009","Adatia, Ian; Beghetti, Maurice","Early postoperative care of patients with pulmonary hypertension associated with congenital cardiac disease","Cardiology in the Young","","1047-9511, 1467-1107","10.1017/S1047951109990175","https://www.cambridge.org/core/product/identifier/S1047951109990175/type/journal_article","","2009-08","2025-05-21 21:09:14","2025-05-21 21:09:14","2025-05-21 21:09:14","315-319","","4","19","","Cardiol Young","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/TSYD6LUF/Adatia and Beghetti - 2009 - Early postoperative care of patients with pulmonary hypertension associated with congenital cardiac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
